GENERATION_PROJECT,build_year,gen_predetermined_cap
g10923,2019,13.891879102243248
g10924,2019,18.925168632041526
g10925,2019,20.133158119193112
g10926,2019,29.033831587774433
g10927,2019,23.397226920550825
g10928,2019,124.43070680474757
g10929,2019,124.43070680474757
g10930,2019,124.43070680474757
g10931,2019,103.90495773353707
g10932,2019,103.90495773353707
g10933,2019,103.90495773353707
g10934,2019,10.635103145704921
g10935,2019,55.36618482778106
g10936,2019,55.36618482778106
g10937,2019,12.281226452707799
g10938,2019,12.281226452707799
g10939,2019,19.126500213233456
g10940,2019,19.126500213233456
g10941,2019,48.22998011373367
g10942,2019,84.23001691398298
g10943,2019,45.79412253223197
g10944,2019,46.086425442012164
g10945,2019,41.47690226824919
g10946,2019,41.47690226824919
g10947,2019,41.47690226824919
g10948,2019,88.78722730564164
g10949,2019,88.78722730564164
g10950,2019,172.13718356956215
g10951,2019,172.13718356956215
g10952,2019,172.13718356956215
g10953,2019,47.742808597433324
g10954,2019,42.540412582819684
g10955,2019,78.51931666485314
g10956,2019,9.361918525424798
g10957,2019,11.475900127940076
g10958,2019,13.489215939859386
g10959,2019,20.133158119193112
g10960,2019,31.206395084749325
g10961,2019,95.71592831134429
g10962,2019,95.71592831134429
g10963,2019,82.10299628484199
