GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio
g12684,ng,2074223,0,.,7.52,10.8360306,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12685i,ng,2074223,0,5000.0,6.54,9.423810600000001,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12685,ng,2074223,0,.,6.54,9.423810600000001,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12686i,ng,2074223,0,5000.0,6.02,8.6704506,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12686,ng,2074223,0,.,6.02,8.6704506,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12687i,wind,2074225,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12687,wind,2074225,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12688i,wind,2074226,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12688,wind,2074226,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12689i,wind,2074226,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12689,wind,2074226,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12690i,hydro,2074228,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12690,hydro,2074228,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12691i,hydro,2074228,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12691,hydro,2074228,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12692i,hydro,2074228,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12692,hydro,2074228,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12693i,wind,2074230,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12693,wind,2074230,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
